=============================

apot - with deterministic round
model = opt-125m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   40.99494552612305  ||  bcq_round = 10  ||  nums = 2
model = opt-6.7b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   14.44166088104248  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   21.838634490966797  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True

model = opt-125m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   64.84596252441406  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-125m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   81.19320678710938  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 3, groupsize = 512, lut = False, nonLinear = False, columnwise = True   :   32.050506591796875  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 3, groupsize = 512, lut = False, nonLinear = False, columnwise = True   :   39.866920471191406  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   32.99831008911133  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   42.2231559753418  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-125m, wbits = 3, groupsize = 384, lut = False, nonLinear = False, columnwise = True   :   62.27480697631836  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-125m, wbits = 3, groupsize = 384, lut = False, nonLinear = False, columnwise = True   :   84.06558227539062  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-125m, wbits = 3, groupsize = 96, lut = False, nonLinear = False, columnwise = True   :   59.91666030883789  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   22.472776412963867  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-125m, wbits = 3, groupsize = 96, lut = False, nonLinear = False, columnwise = True   :   74.15221405029297  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   37.05536651611328  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 3, groupsize = 512, lut = False, nonLinear = False, columnwise = True   :   20.225852966308594  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 3, groupsize = 512, lut = False, nonLinear = False, columnwise = True   :   30.30152130126953  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 3, groupsize = 128, lut = False, nonLinear = False, columnwise = True   :   28.72869110107422  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 3, groupsize = 128, lut = False, nonLinear = False, columnwise = True   :   35.871673583984375  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 3, groupsize = 256, lut = False, nonLinear = False, columnwise = True   :   19.698558807373047  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 3, groupsize = 256, lut = False, nonLinear = False, columnwise = True   :   29.513635635375977  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   12.653924942016602  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   16.50829315185547  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 3, groupsize = 1024, lut = False, nonLinear = False, columnwise = True   :   12.161437034606934  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 3, groupsize = 1024, lut = False, nonLinear = False, columnwise = True   :   15.730461120605469  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 3, groupsize = 512, lut = False, nonLinear = False, columnwise = True   :   12.145838737487793  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 3, groupsize = 512, lut = False, nonLinear = False, columnwise = True   :   15.51551342010498  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-13b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   12.676010131835938  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True
model = opt-13b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   16.53554344177246  ||  bcq_round = 20  ||  apot_nums = 3 use_bst = True

=======================

model = opt-125m, wbits = 2, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   1204.21435546875  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-125m, wbits = 2, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   1450.4093017578125  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-125m, wbits = 4, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   33.76341247558594  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-125m, wbits = 4, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   40.17436981201172  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 2, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   462.0303649902344  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 2, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   503.8653869628906  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 4, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   22.853757858276367  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 4, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   27.827972412109375  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 2, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   196.4783935546875  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 2, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   406.9814453125  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 4, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   16.40809440612793  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 4, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   20.65667152404785  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 2, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   24.72873878479004  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 2, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   59.39448165893555  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-13b, wbits = 2, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   38.59616470336914  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-13b, wbits = 2, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   50.46437072753906  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 4, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   11.412667274475098  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 4, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   14.089681625366211  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-13b, wbits = 4, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   10.733853340148926  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-13b, wbits = 4, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   13.445051193237305  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-30b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   10.094429969787598  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-30b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   12.57739543914795  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 2, groupsize = 512, lut = False, nonLinear = False, columnwise = True   :   129.28041076660156  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 2, groupsize = 512, lut = False, nonLinear = False, columnwise = True   :   392.2064514160156  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 2, groupsize = 256, lut = False, nonLinear = False, columnwise = True   :   77.1462631225586  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 2, groupsize = 256, lut = False, nonLinear = False, columnwise = True   :   286.2478332519531  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 2, groupsize = 512, lut = False, nonLinear = False, columnwise = True   :   19.88160514831543  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-6.7b, wbits = 2, groupsize = 512, lut = False, nonLinear = False, columnwise = True   :   38.776432037353516  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-125m, wbits = 2, groupsize = 96, lut = False, nonLinear = False, columnwise = True   :   749.5310668945312  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-125m, wbits = 2, groupsize = 96, lut = False, nonLinear = False, columnwise = True   :   1543.8179931640625  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-125m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   66.81857299804688  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-125m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   98.50468444824219  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 2, groupsize = 128, lut = False, nonLinear = False, columnwise = True   :   495.616943359375  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 2, groupsize = 128, lut = False, nonLinear = False, columnwise = True   :   438.5645751953125  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   33.04299545288086  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-350m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   41.4946403503418  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   21.53045654296875  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-1.3b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   37.44175338745117  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-13b, wbits = 2, groupsize = 640, lut = False, nonLinear = False, columnwise = True   :   32.004486083984375  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-13b, wbits = 2, groupsize = 640, lut = False, nonLinear = False, columnwise = True   :   51.771080017089844  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-30b, wbits = 2, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   16.01861572265625  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-30b, wbits = 2, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   20.051570892333984  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-30b, wbits = 2, groupsize = 1024, lut = False, nonLinear = False, columnwise = True   :   12.53768253326416  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = opt-30b, wbits = 2, groupsize = 1024, lut = False, nonLinear = False, columnwise = True   :   17.98269271850586  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True

model = opt-1.3b, wbits = 16, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   14.624232292175293
model = opt-350m, wbits = 16, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   22.004013061523438
model = opt-125m, wbits = 16, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   27.655488967895508
model = opt-30b, wbits = 16, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   9.558547019958496
model = opt-1.3b, wbits = 16, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   16.96076774597168
model = opt-350m, wbits = 16, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   26.080764770507812
model = opt-125m, wbits = 16, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   32.5511474609375
model = opt-6.7b, wbits = 16, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   10.860910415649414
model = opt-6.7b, wbits = 16, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   13.088074684143066
model = opt-13b, wbits = 16, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   10.12800121307373
model = opt-30b, wbits = 16, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   11.84309196472168
model = opt-13b, wbits = 16, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   12.34054946899414
model = opt-125m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   46.109859466552734
model = opt-125m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   67.28524017333984
model = opt-350m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   31.35001564025879
model = opt-350m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   40.10293960571289
model = opt-1.3b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   19.42145538330078
model = opt-1.3b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   26.695775985717773
model = opt-6.7b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   12.665581703186035
model = opt-6.7b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   16.626941680908203
model = opt-13b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   11.158873558044434
model = opt-13b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   13.915863990783691

model = opt-125m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   71.67786407470703
model = opt-125m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   73.62625885009766
model = opt-125m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   71.67786407470703
model = opt-125m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = False   :   73.62625885009766
